claimID,c,theta,mu,beta,gamma,majority,weighted,weightedAfterAlgorithm
15,0.800,0.600,0.800,0.800,0.200,-0.100,-0.012,-0.009
15,0.800,0.600,0.800,0.800,0.400,-0.100,-0.012,-0.009
15,0.800,0.600,0.800,0.800,0.600,-0.100,-0.012,-0.009
15,0.800,0.600,0.800,0.800,0.800,-0.100,-0.012,-0.009
15,0.800,0.600,0.800,0.800,1.000,-0.100,-0.012,-0.009
15,0.800,0.600,0.800,1.000,0.000,-0.100,-0.012,-0.009
15,0.800,0.600,0.800,1.000,0.200,-0.100,-0.012,-0.009
15,0.800,0.600,0.800,1.000,0.400,-0.100,-0.012,-0.009
15,0.800,0.600,0.800,1.000,0.600,-0.100,-0.012,-0.009
15,0.800,0.600,0.800,1.000,0.800,-0.100,-0.012,-0.009
15,0.800,0.600,0.800,1.000,1.000,-0.100,-0.012,-0.009
15,0.800,0.600,1.000,0.000,0.000,-0.100,-0.012,-0.008
15,0.800,0.600,1.000,0.000,0.200,-0.100,-0.012,-0.008
15,0.800,0.600,1.000,0.000,0.400,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.000,0.600,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.000,0.800,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.000,1.000,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.200,0.000,-0.100,-0.012,-0.008
15,0.800,0.600,1.000,0.200,0.200,-0.100,-0.012,-0.008
15,0.800,0.600,1.000,0.200,0.400,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.200,0.600,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.200,0.800,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.200,1.000,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.400,0.000,-0.100,-0.012,-0.008
15,0.800,0.600,1.000,0.400,0.200,-0.100,-0.012,-0.008
15,0.800,0.600,1.000,0.400,0.400,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.400,0.600,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.400,0.800,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.400,1.000,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.600,0.000,-0.100,-0.012,-0.008
15,0.800,0.600,1.000,0.600,0.200,-0.100,-0.012,-0.008
15,0.800,0.600,1.000,0.600,0.400,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.600,0.600,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.600,0.800,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.600,1.000,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.800,0.000,-0.100,-0.012,-0.008
15,0.800,0.600,1.000,0.800,0.200,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.800,0.400,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.800,0.600,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.800,0.800,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,0.800,1.000,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,1.000,0.000,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,1.000,0.200,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,1.000,0.400,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,1.000,0.600,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,1.000,0.800,-0.100,-0.012,-0.007
15,0.800,0.600,1.000,1.000,1.000,-0.100,-0.012,-0.007
15,0.800,0.800,0.000,0.000,0.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.000,0.200,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.000,0.400,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.000,0.600,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.000,0.800,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.000,1.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.200,0.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.200,0.200,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.200,0.400,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.200,0.600,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.200,0.800,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.200,1.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.400,0.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.400,0.200,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.400,0.400,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.400,0.600,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.400,0.800,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.400,1.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.600,0.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.600,0.200,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.600,0.400,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.600,0.600,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.600,0.800,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.600,1.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.800,0.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.800,0.200,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.800,0.400,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.800,0.600,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.800,0.800,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,0.800,1.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,1.000,0.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,1.000,0.200,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,1.000,0.400,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,1.000,0.600,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,1.000,0.800,-0.100,-0.012,-0.014
15,0.800,0.800,0.000,1.000,1.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.000,0.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.000,0.200,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.000,0.400,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.000,0.600,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.000,0.800,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.000,1.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.200,0.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.200,0.200,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.200,0.400,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.200,0.600,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.200,0.800,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.200,1.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.400,0.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.400,0.200,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.400,0.400,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.400,0.600,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.400,0.800,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,0.400,1.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,0.600,0.000,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.600,0.200,-0.100,-0.012,-0.014
15,0.800,0.800,0.200,0.600,0.400,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,0.600,0.600,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,0.600,0.800,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,0.600,1.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,0.800,0.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,0.800,0.200,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,0.800,0.400,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,0.800,0.600,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,0.800,0.800,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,0.800,1.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,1.000,0.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,1.000,0.200,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,1.000,0.400,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,1.000,0.600,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,1.000,0.800,-0.100,-0.012,-0.013
15,0.800,0.800,0.200,1.000,1.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.000,0.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.000,0.200,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.000,0.400,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.000,0.600,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.000,0.800,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.000,1.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.200,0.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.200,0.200,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.200,0.400,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.200,0.600,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.200,0.800,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.200,1.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.400,0.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.400,0.200,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.400,0.400,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.400,0.600,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.400,0.800,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.400,1.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.600,0.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.600,0.200,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.600,0.400,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.600,0.600,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.600,0.800,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.600,1.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.800,0.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.800,0.200,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.800,0.400,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.800,0.600,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.800,0.800,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,0.800,1.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,1.000,0.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,1.000,0.200,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,1.000,0.400,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,1.000,0.600,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,1.000,0.800,-0.100,-0.012,-0.013
15,0.800,0.800,0.400,1.000,1.000,-0.100,-0.012,-0.013
15,0.800,0.800,0.600,0.000,0.000,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.000,0.200,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.000,0.400,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.000,0.600,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.000,0.800,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.000,1.000,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.200,0.000,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.200,0.200,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.200,0.400,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.200,0.600,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.200,0.800,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.200,1.000,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.400,0.000,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.400,0.200,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.400,0.400,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.400,0.600,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.400,0.800,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.400,1.000,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.600,0.000,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.600,0.200,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.600,0.400,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.600,0.600,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.600,0.800,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.600,1.000,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.800,0.000,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.800,0.200,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.800,0.400,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,0.800,0.600,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.800,0.800,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,0.800,1.000,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,1.000,0.000,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,1.000,0.200,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,1.000,0.400,-0.100,-0.012,-0.012
15,0.800,0.800,0.600,1.000,0.600,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,1.000,0.800,-0.100,-0.012,-0.011
15,0.800,0.800,0.600,1.000,1.000,-0.100,-0.012,-0.011
15,0.800,0.800,0.800,0.000,0.000,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.000,0.200,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.000,0.400,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.000,0.600,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.000,0.800,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.000,1.000,-0.100,-0.012,-0.009
15,0.800,0.800,0.800,0.200,0.000,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.200,0.200,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.200,0.400,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.200,0.600,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.200,0.800,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.200,1.000,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.400,0.000,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.400,0.200,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.400,0.400,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.400,0.600,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.400,0.800,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.400,1.000,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.600,0.000,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.600,0.200,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.600,0.400,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.600,0.600,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.600,0.800,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.600,1.000,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.800,0.000,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.800,0.200,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.800,0.400,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.800,0.600,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.800,0.800,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,0.800,1.000,-0.100,-0.012,-0.009
15,0.800,0.800,0.800,1.000,0.000,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,1.000,0.200,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,1.000,0.400,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,1.000,0.600,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,1.000,0.800,-0.100,-0.012,-0.010
15,0.800,0.800,0.800,1.000,1.000,-0.100,-0.012,-0.009
15,0.800,0.800,1.000,0.000,0.000,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.000,0.200,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.000,0.400,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.000,0.600,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.000,0.800,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.000,1.000,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.200,0.000,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.200,0.200,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.200,0.400,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.200,0.600,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.200,0.800,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.200,1.000,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.400,0.000,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.400,0.200,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.400,0.400,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.400,0.600,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.400,0.800,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.400,1.000,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.600,0.000,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.600,0.200,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.600,0.400,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.600,0.600,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.600,0.800,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.600,1.000,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.800,0.000,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.800,0.200,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.800,0.400,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.800,0.600,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.800,0.800,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,0.800,1.000,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,1.000,0.000,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,1.000,0.200,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,1.000,0.400,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,1.000,0.600,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,1.000,0.800,-0.100,-0.012,-0.008
15,0.800,0.800,1.000,1.000,1.000,-0.100,-0.012,-0.008
15,0.800,1.000,0.000,0.000,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.000,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.000,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.000,0.600,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.000,0.800,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.000,1.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.200,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.200,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.200,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.200,0.600,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.200,0.800,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.200,1.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.400,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.400,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.400,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.400,0.600,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.400,0.800,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.400,1.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.600,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.600,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.600,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.600,0.600,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.600,0.800,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.600,1.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.800,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.800,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.800,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.800,0.600,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.800,0.800,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,0.800,1.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,1.000,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,1.000,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,1.000,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,1.000,0.600,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,1.000,0.800,-0.100,-0.012,-0.014
15,0.800,1.000,0.000,1.000,1.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.000,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.000,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.000,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.000,0.600,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.000,0.800,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.000,1.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.200,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.200,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.200,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.200,0.600,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.200,0.800,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.200,1.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.400,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.400,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.400,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.400,0.600,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.400,0.800,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.400,1.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.600,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.600,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.600,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.600,0.600,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.600,0.800,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.600,1.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.800,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.800,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.800,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.800,0.600,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.800,0.800,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,0.800,1.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,1.000,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,1.000,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,1.000,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,1.000,0.600,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,1.000,0.800,-0.100,-0.012,-0.014
15,0.800,1.000,0.200,1.000,1.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.400,0.000,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.400,0.000,0.200,-0.100,-0.012,-0.014
15,0.800,1.000,0.400,0.000,0.400,-0.100,-0.012,-0.014
15,0.800,1.000,0.400,0.000,0.600,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.000,0.800,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.000,1.000,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.200,0.000,-0.100,-0.012,-0.014
15,0.800,1.000,0.400,0.200,0.200,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.200,0.400,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.200,0.600,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.200,0.800,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.200,1.000,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.400,0.000,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.400,0.200,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.400,0.400,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.400,0.600,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.400,0.800,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.400,1.000,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.600,0.000,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.600,0.200,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.600,0.400,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.600,0.600,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.600,0.800,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.600,1.000,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.800,0.000,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.800,0.200,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.800,0.400,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.800,0.600,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.800,0.800,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,0.800,1.000,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,1.000,0.000,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,1.000,0.200,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,1.000,0.400,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,1.000,0.600,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,1.000,0.800,-0.100,-0.012,-0.013
15,0.800,1.000,0.400,1.000,1.000,-0.100,-0.012,-0.013
15,0.800,1.000,0.600,0.000,0.000,-0.100,-0.012,-0.012
15,0.800,1.000,0.600,0.000,0.200,-0.100,-0.012,-0.012
15,0.800,1.000,0.600,0.000,0.400,-0.100,-0.012,-0.012
15,0.800,1.000,0.600,0.000,0.600,-0.100,-0.012,-0.012
15,0.800,1.000,0.600,0.000,0.800,-0.100,-0.012,-0.012
15,0.800,1.000,0.600,0.000,1.000,-0.100,-0.012,-0.012
